title,iframe_url,categories
Fantasy Idle Tycoon,https://games.crazygames.com/en_US/fantasy-idle-tycoon/index.html,Idle,Tycoon,Fantasy
Coin Clicker,https://games.crazygames.com/en_US/coin-clicker/index.html,Clicker,Idle
Idle Pet Business,https://games.crazygames.com/en_US/idle-pet-business/index.html,Idle,Tycoon,Pet
Idle Hurricane,https://games.crazygames.com/en_US/idle-hurricane/index.html,Idle,Weather
Aim Trainer Idle,https://games.crazygames.com/en_US/aim-trainer-idle/index.html,Idle,Trainer
Magic Swords Idle RPG,https://games.crazygames.com/en_US/magic-swords-idle-rpg/index.html,Idle,RPG
Haste-Miner 3: Eternamine,https://games.crazygames.com/en_US/haste-miner-3-eternamine/index.html,Mining,Idle
Love Clicker: Valentine's Day,https://games.crazygames.com/en_US/love-clicker-valentine-s-day/index.html,Clicker,Idle,Love
Weapons Journey,https://games.crazygames.com/en_US/weapons-journey/index.html,Adventure,Weapon
Burger Clicker,https://games.crazygames.com/en_US/burger-clicker-ktl/index.html,Clicker,Idle,Food
My Flour Factory,https://games.crazygames.com/en_US/my-flour-factory/index.html,Tycoon,Factory
Galactic Crusade Clicker,https://games.crazygames.com/en_US/galactic-crusade-clicker/index.html,Clicker,Idle,Space
Red Imposter Clicker,https://games.crazygames.com/en_US/red-imposter-clicker/index.html,Clicker,Idle,Imposter
Mining Rush,https://games.crazygames.com/en_US/mining-rush/index.html,Mining,Idle
Survivor Idle Run,https://games.crazygames.com/en_US/survivor-idle-run/index.html,Idle,Runner
Haste-Miner 2,https://games.crazygames.com/en_US/haste-miner-2/index.html,Mining,Idle
Pinball Idle,https://games.crazygames.com/en_US/pinball-idle/index.html,Idle,Pinball
Minecube,https://games.crazygames.com/en_US/minecube/index.html,Mining,Idle
Launch Idle 3D,https://games.crazygames.com/en_US/launch-idle-3d/index.html,Idle,3D
Pixelartist Clicker,https://games.crazygames.com/en_US/pixelartist-clicker/index.html,Clicker,Idle,Art
Wednesday Clicker,https://games.crazygames.com/en_US/wednesday-clicker/index.html,Clicker,Idle
Revolution Idle RE,https://games.crazygames.com/en_US/revolution-idle-re/index.html,Idle,Revolution
Weaponsmith Idle,https://games.crazygames.com/en_US/weaponsmith-idle/index.html,Idle,Weapon
Juice Production Tycoon,https://games.crazygames.com/en_US/juice-production-tycoon/index.html,Tycoon,Factory
Loot Box Hero,https://games.crazygames.com/en_US/loot-box-hero/index.html,Idle,Hero
Mining for the Village,https://games.crazygames.com/en_US/mining-for-the-village/index.html,Mining,Idle
CoinBlock Clicker,https://games.crazygames.com/en_US/coinblock-clicker/index.html,Clicker,Idle
Stone Idle,https://games.crazygames.com/en_US/stone-idle/index.html,Idle,Stone
Block Fuser,https://games.crazygames.com/en_US/block-fuser/index.html,Block,Idle
Idle Gun,https://games.crazygames.com/en_US/idlegun/index.html,Idle,Gun
Doge Miner 2,https://games.crazygames.com/en_US/doge-miner-2/index.html,Mining,Idle
Yet Another Merge Game,https://games.crazygames.com/en_US/yet-another-merge-game/index.html,Merge,Idle
Glass Factory 2,https://games.crazygames.com/en_US/glass-factory-2/index.html,Factory,Idle
TableTop Idle (Remastered),https://games.crazygames.com/en_US/tabletop-idle/index.html,Idle,Tabletop
Matches,https://games.crazygames.com/en_US/matches/index.html,Idle,Arcade
Commit Battery,https://games.crazygames.com/en_US/commit-battery/index.html,Idle,Battery
Button Defense Clicker,https://games.crazygames.com/en_US/button-defence-clicker/index.html,Clicker,Idle,Defense
BreakShoot idle,https://games.crazygames.com/en_US/breakshoot-idle/index.html,Idle,Arcade
Mine Merge Mania,https://games.crazygames.com/en_US/mine-merge-mania/index.html,Merge,Idle,Mining
Bees Clicker,https://games.crazygames.com/en_US/bees-clicker/index.html,Clicker,Idle,Bees
Soccer Clicker 2D,https://games.crazygames.com/en_US/football-soccer-clicker/index.html,Clicker,Idle,Sports
Stickman Clicker,https://games.crazygames.com/en_US/stickman-clicker/index.html,Clicker,Idle,Stickman
Block Shoot Clicker,https://games.crazygames.com/en_US/block-shoot-clicker/index.html,Clicker,Idle,Block
Idle Idle Gamedev,https://games.crazygames.com/en_US/idle-idle-gamedev/index.html,Idle,Dev
Idle Treadmill,https://games.crazygames.com/en_US/idle-treadmill/index.html,Idle,Fitness
Sculpture Collector,https://games.crazygames.com/en_US/sculpture-collector/index.html,Idle,Art
Carousel Idle Clicker,https://games.crazygames.com/en_US/carousel-idle-clicker/index.html,Idle,Clicker
Catty's Fishing Day,https://games.crazygames.com/en_US/catty-s-fishing-day/index.html,Fishing,Idle
Resource Clicker,https://games.crazygames.com/en_US/resource-clicker/index.html,Clicker,Idle,Resource
Donut Clicker,https://games.crazygames.com/en_US/donut-clicker/index.html,Clicker,Idle,Food
Fishing Clicker 3D,https://games.crazygames.com/en_US/fishing-clicker-3d/index.html,Clicker,Idle,Fishing
Slime Farm 3,https://games.crazygames.com/en_US/slime-farm-3/index.html,Farm,Idle
Omega Layers,https://games.crazygames.com/en_US/omega-layers/index.html,Idle,Strategy
Little Blacksmith Clicker,https://games.crazygames.com/en_US/little-blacksmith-clicker/index.html,Clicker,Idle,Blacksmith
Crafters Inc: Tycoon Empire,https://games.crazygames.com/en_US/crafters-inc-tycoon-empire/index.html,Tycoon,Idle,Crafting
MineClicker 2,https://games.crazygames.com/en_US/mineclicker-2/index.html,Clicker,Idle,Mining
Block Clicker,https://games.crazygames.com/en_US/block-clicker/index.html,Clicker,Idle,Block
Survival Runners,https://games.crazygames.com/en_US/survival-runners/index.html,Runner,Idle
Mine Loop,https://games.crazygames.com/en_US/mine-loop/index.html,Mining,Idle
The Cool Merge,https://games.crazygames.com/en_US/the-cool-merge/index.html,Merge,Idle
Bird Flight Idle,https://games.crazygames.com/en_US/bird-flight-idle/index.html,Idle,Bird
